operation, contention, priorities, seconds, nanoseconds, bytes, iterations
write, 0, f0e0d0c, 0, 162286, 131072, 8192
write, 0, f0e0d0c, 0, 161066, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 160956, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 160926, 131072, 8192
write, 0, f0e0d0c, 0, 160876, 131072, 8192
write, 0, f0e0d0c, 0, 161086, 131072, 8192
write, 0, f0e0d0c, 0, 161056, 131072, 8192
write, 0, f0e0d0c, 0, 160946, 131072, 8192
write, 0, f0e0d0c, 0, 160916, 131072, 8192
write, 0, f0e0d0c, 0, 160936, 131072, 8192
write, 0, f0e0d0c, 0, 160956, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 172877, 131072, 8192
write, 0, f0e0d0c, 0, 161036, 131072, 8192
write, 0, f0e0d0c, 0, 161056, 131072, 8192
write, 0, f0e0d0c, 0, 161036, 131072, 8192
write, 0, f0e0d0c, 0, 160976, 131072, 8192
write, 0, f0e0d0c, 0, 161026, 131072, 8192
write, 0, f0e0d0c, 0, 161006, 131072, 8192
write, 0, f0e0d0c, 0, 161156, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 161046, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 161116, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 161136, 131072, 8192
write, 0, f0e0d0c, 0, 160766, 131072, 8192
write, 0, f0e0d0c, 0, 161066, 131072, 8192
write, 0, f0e0d0c, 0, 161006, 131072, 8192
write, 0, f0e0d0c, 0, 160956, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 161136, 131072, 8192
write, 0, f0e0d0c, 0, 160976, 131072, 8192
write, 0, f0e0d0c, 0, 161016, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 168167, 131072, 8192
write, 0, f0e0d0c, 0, 160976, 131072, 8192
write, 0, f0e0d0c, 0, 161086, 131072, 8192
write, 0, f0e0d0c, 0, 161086, 131072, 8192
write, 0, f0e0d0c, 0, 160916, 131072, 8192
write, 0, f0e0d0c, 0, 161126, 131072, 8192
write, 0, f0e0d0c, 0, 161006, 131072, 8192
write, 0, f0e0d0c, 0, 161006, 131072, 8192
write, 0, f0e0d0c, 0, 160826, 131072, 8192
write, 0, f0e0d0c, 0, 160836, 131072, 8192
write, 0, f0e0d0c, 0, 161016, 131072, 8192
write, 0, f0e0d0c, 0, 161196, 131072, 8192
write, 0, f0e0d0c, 0, 160946, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 160896, 131072, 8192
write, 0, f0e0d0c, 0, 160876, 131072, 8192
write, 0, f0e0d0c, 0, 160746, 131072, 8192
write, 0, f0e0d0c, 0, 160986, 131072, 8192
write, 0, f0e0d0c, 0, 160996, 131072, 8192
write, 0, f0e0d0c, 0, 161036, 131072, 8192
write, 0, f0e0d0c, 0, 160926, 131072, 8192
write, 0, f0e0d0c, 0, 160986, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 161046, 131072, 8192
write, 0, f0e0d0c, 0, 160916, 131072, 8192
write, 0, f0e0d0c, 0, 167227, 131072, 8192
write, 0, f0e0d0c, 0, 161056, 131072, 8192
write, 0, f0e0d0c, 0, 161036, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 160816, 131072, 8192
write, 0, f0e0d0c, 0, 160876, 131072, 8192
write, 0, f0e0d0c, 0, 160926, 131072, 8192
write, 0, f0e0d0c, 0, 161066, 131072, 8192
write, 0, f0e0d0c, 0, 161136, 131072, 8192
write, 0, f0e0d0c, 0, 160956, 131072, 8192
write, 0, f0e0d0c, 0, 160906, 131072, 8192
write, 0, f0e0d0c, 0, 160986, 131072, 8192
write, 0, f0e0d0c, 0, 160896, 131072, 8192
write, 0, f0e0d0c, 0, 161076, 131072, 8192
write, 0, f0e0d0c, 0, 160976, 131072, 8192
write, 0, f0e0d0c, 0, 161086, 131072, 8192
write, 0, f0e0d0c, 0, 161096, 131072, 8192
write, 0, f0e0d0c, 0, 161006, 131072, 8192
write, 0, f0e0d0c, 0, 160866, 131072, 8192
write, 0, f0e0d0c, 0, 161056, 131072, 8192
write, 0, f0e0d0c, 0, 161016, 131072, 8192
write, 0, f0e0d0c, 0, 160946, 131072, 8192
write, 0, f0e0d0c, 0, 160926, 131072, 8192
write, 0, f0e0d0c, 0, 160816, 131072, 8192
write, 0, f0e0d0c, 0, 168597, 131072, 8192
write, 0, f0e0d0c, 0, 160916, 131072, 8192
write, 0, f0e0d0c, 0, 160876, 131072, 8192
write, 0, f0e0d0c, 0, 160836, 131072, 8192
write, 0, f0e0d0c, 0, 160956, 131072, 8192
write, 0, f0e0d0c, 0, 161136, 131072, 8192
write, 0, f0e0d0c, 0, 160886, 131072, 8192
write, 0, f0e0c0d, 0, 161876, 131072, 8192
write, 0, f0e0c0d, 0, 161147, 131072, 8192
write, 0, f0e0c0d, 0, 161036, 131072, 8192
write, 0, f0e0c0d, 0, 161016, 131072, 8192
write, 0, f0e0c0d, 0, 160996, 131072, 8192
write, 0, f0e0c0d, 0, 160926, 131072, 8192
write, 0, f0e0c0d, 0, 161156, 131072, 8192
write, 0, f0e0c0d, 0, 161016, 131072, 8192
write, 0, f0e0c0d, 0, 160896, 131072, 8192
write, 0, f0e0c0d, 0, 160966, 131072, 8192
write, 0, f0e0c0d, 0, 160967, 131072, 8192
write, 0, f0e0c0d, 0, 160766, 131072, 8192
write, 0, f0e0c0d, 0, 160826, 131072, 8192
write, 0, f0e0c0d, 0, 161137, 131072, 8192
write, 0, f0e0c0d, 0, 176427, 131072, 8192
write, 0, f0e0c0d, 0, 160986, 131072, 8192
write, 0, f0e0c0d, 0, 161186, 131072, 8192
write, 0, f0e0c0d, 0, 160987, 131072, 8192
write, 0, f0e0c0d, 0, 160956, 131072, 8192
write, 0, f0e0c0d, 0, 161066, 131072, 8192
write, 0, f0e0c0d, 0, 160897, 131072, 8192
write, 0, f0e0c0d, 0, 160946, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 161007, 131072, 8192
write, 0, f0e0c0d, 0, 160936, 131072, 8192
write, 0, f0e0c0d, 0, 160996, 131072, 8192
write, 0, f0e0c0d, 0, 160856, 131072, 8192
write, 0, f0e0c0d, 0, 160986, 131072, 8192
write, 0, f0e0c0d, 0, 160906, 131072, 8192
write, 0, f0e0c0d, 0, 161147, 131072, 8192
write, 0, f0e0c0d, 0, 160886, 131072, 8192
write, 0, f0e0c0d, 0, 160876, 131072, 8192
write, 0, f0e0c0d, 0, 161016, 131072, 8192
write, 0, f0e0c0d, 0, 161056, 131072, 8192
write, 0, f0e0c0d, 0, 160906, 131072, 8192
write, 0, f0e0c0d, 0, 160866, 131072, 8192
write, 0, f0e0c0d, 0, 160946, 131072, 8192
write, 0, f0e0c0d, 0, 161066, 131072, 8192
write, 0, f0e0c0d, 0, 168177, 131072, 8192
write, 0, f0e0c0d, 0, 160817, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 161066, 131072, 8192
write, 0, f0e0c0d, 0, 161027, 131072, 8192
write, 0, f0e0c0d, 0, 161036, 131072, 8192
write, 0, f0e0c0d, 0, 160916, 131072, 8192
write, 0, f0e0c0d, 0, 161007, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 160956, 131072, 8192
write, 0, f0e0c0d, 0, 160857, 131072, 8192
write, 0, f0e0c0d, 0, 160806, 131072, 8192
write, 0, f0e0c0d, 0, 160926, 131072, 8192
write, 0, f0e0c0d, 0, 161127, 131072, 8192
write, 0, f0e0c0d, 0, 161026, 131072, 8192
write, 0, f0e0c0d, 0, 160956, 131072, 8192
write, 0, f0e0c0d, 0, 160967, 131072, 8192
write, 0, f0e0c0d, 0, 161096, 131072, 8192
write, 0, f0e0c0d, 0, 160896, 131072, 8192
write, 0, f0e0c0d, 0, 160897, 131072, 8192
write, 0, f0e0c0d, 0, 160896, 131072, 8192
write, 0, f0e0c0d, 0, 160936, 131072, 8192
write, 0, f0e0c0d, 0, 161087, 131072, 8192
write, 0, f0e0c0d, 0, 160906, 131072, 8192
write, 0, f0e0c0d, 0, 166627, 131072, 8192
write, 0, f0e0c0d, 0, 161026, 131072, 8192
write, 0, f0e0c0d, 0, 161026, 131072, 8192
write, 0, f0e0c0d, 0, 160966, 131072, 8192
write, 0, f0e0c0d, 0, 161076, 131072, 8192
write, 0, f0e0c0d, 0, 160986, 131072, 8192
write, 0, f0e0c0d, 0, 161066, 131072, 8192
write, 0, f0e0c0d, 0, 161026, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 161026, 131072, 8192
write, 0, f0e0c0d, 0, 161076, 131072, 8192
write, 0, f0e0c0d, 0, 161026, 131072, 8192
write, 0, f0e0c0d, 0, 160886, 131072, 8192
write, 0, f0e0c0d, 0, 160916, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 160896, 131072, 8192
write, 0, f0e0c0d, 0, 161066, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 161056, 131072, 8192
write, 0, f0e0c0d, 0, 160876, 131072, 8192
write, 0, f0e0c0d, 0, 160886, 131072, 8192
write, 0, f0e0c0d, 0, 160986, 131072, 8192
write, 0, f0e0c0d, 0, 160956, 131072, 8192
write, 0, f0e0c0d, 0, 161126, 131072, 8192
write, 0, f0e0c0d, 0, 161066, 131072, 8192
write, 0, f0e0c0d, 0, 166317, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 161206, 131072, 8192
write, 0, f0e0c0d, 0, 161106, 131072, 8192
write, 0, f0e0c0d, 0, 161016, 131072, 8192
write, 0, f0e0c0d, 0, 161016, 131072, 8192
write, 0, f0e0c0d, 0, 161056, 131072, 8192
write, 0, f0e0c0d, 0, 161016, 131072, 8192
write, 0, f0e0c0d, 0, 161006, 131072, 8192
write, 0, f0e0c0d, 0, 160976, 131072, 8192
write, 0, f0e0c0d, 0, 161086, 131072, 8192
write, 0, f0e0c0d, 0, 160956, 131072, 8192
write, 0, f0e0c0d, 0, 160926, 131072, 8192
write, 0, f0c0d0e, 0, 161766, 131072, 8192
write, 0, f0c0d0e, 0, 160946, 131072, 8192
write, 0, f0c0d0e, 0, 160876, 131072, 8192
write, 0, f0c0d0e, 0, 161037, 131072, 8192
write, 0, f0c0d0e, 0, 160956, 131072, 8192
write, 0, f0c0d0e, 0, 160866, 131072, 8192
write, 0, f0c0d0e, 0, 160937, 131072, 8192
